,metric,Recording,mu,std,min,max
76,init_tau,dynamic,0.039078859,0.035359383,0.008333333,0.2
77,middle_tau,natural,0.027091279,0.024243249,0,0.5
78,middle_tau,comfort,0.023253384,0.016777069,0.008695652,0.142857143
79,middle_tau,Dr001,0.025030374,0.032119099,0,0.5
80,middle_tau,Dr003,0.029825899,0.017144447,0,0.083333333
81,middle_tau,Dr002,0.027800863,0.017105268,0.00862069,0.125
82,middle_tau,Dr004,0.025957808,0.020510697,0.008695652,0.1
83,middle_tau,dynamic,0.048640832,0.089916868,0.008695652,1
84,settling_tau,natural,0.058304829,0.137055367,0,1
85,settling_tau,comfort,0.058552048,0.125619402,0,1
86,settling_tau,Dr001,0.054502732,0.115502467,0,1
87,settling_tau,Dr003,0.063502458,0.147300514,0,1
88,settling_tau,Dr002,0.059544449,0.150307663,0,1
89,settling_tau,Dr004,0.023208643,0.033841348,0,0.142857143
90,settling_tau,dynamic,0.044432648,0.129173668,0,1
